title,platform,problem_id,difficulty,chapter,chapter_num,anchor,tags,techniques
Two Sums I,LeetCode,1,Easy,Array,03,lc-two-sum-1,"Grind 75, Blind 75, NeetCode 150",hash-table
Two Sum II - Sorted Array,LeetCode,167,Medium,Array,03,lc-two-sum-ii-sorted,NeetCode 150,two-pointer
Two Sum II - Boolean,Other,NA,Easy,Array,03,other-two-sum-ii-boolean,,two-pointer
Two Sum IV - BST,LeetCode,653,Easy,Tree,05,lc-two-sum-iv-bst,,"dfs, hash-table"
Binary Search,LeetCode,704,Easy,Array,03,lc-binary-search,"Grind 75, NeetCode 150",binary-search
Two Sum V,Other,NA,Medium,Array,03,other-two-sum-v,,two-pointer
Remove Duplicates from Sorted Array,LeetCode,26,Easy,Array,03,lc-remove-duplicates-sorted,NeetCode 150,two-pointer
Container With Most Water,LeetCode,11,Medium,Array,03,lc-container-most-water,"Grind 75, Blind 75, NeetCode 150",two-pointer
3Sum,LeetCode,15,Medium,Array,03,lc-three-sum,"Grind 75, Blind 75, NeetCode 150","two-pointer, sorting"
3Sum Closest,LeetCode,16,Medium,Array,03,lc-three-sum-closest,,"two-pointer, sorting"
4Sum,LeetCode,18,Medium,Array,03,lc-four-sum,,"two-pointer, sorting"
4Sum II,LeetCode,454,Medium,Array,03,lc-four-sum-ii,,hash-table
Coin Change II,LeetCode,518,Medium,Dynamic Programming and Backtracking,14,lc-coin-change-ii,NeetCode 150,"dp-tabulation, dp-unbounded-knapsack"
Max Gain,Firecode,NA,Easy,Array,03,fc-max-gain,,greedy
Pascal's Triangle,LeetCode,118,Easy,Dynamic Programming and Backtracking,14,lc-pascals-triangle,,dp-tabulation
Search in Rotated Sorted Array,LeetCode,33,Medium,Array,03,lc-search-rotated-array,"Grind 75, Blind 75, NeetCode 150",binary-search
Combination Sum,LeetCode,39,Medium,Dynamic Programming and Backtracking,14,lc-combination-sum,"Grind 75, Blind 75, NeetCode 150",backtracking-choose-explore-unchoose-pattern
Median of Two Sorted Arrays,LeetCode,4,Hard,Array,03,lc-median-two-sorted,NeetCode 150,"binary-search, heap"
Retrieve Elements K Times,Other,NA,Easy,Array,03,other-kth-occurrence,,hash-table
Permutations,LeetCode,46,Medium,Dynamic Programming and Backtracking,14,lc-permutations,"Grind 75, NeetCode 150",backtracking-choose-explore-unchoose-pattern
Permutations II,LeetCode,47,Medium,Dynamic Programming and Backtracking,14,lc-permutations-ii,NeetCode 150,backtracking-choose-explore-unchoose-pattern
Subsets,LeetCode,78,Medium,Dynamic Programming and Backtracking,14,lc-subsets,"Grind 75, Blind 75, NeetCode 150",backtracking-choose-explore-unchoose-pattern
Subsets II,LeetCode,90,Medium,Dynamic Programming and Backtracking,14,lc-subsets-ii,NeetCode 150,backtracking-choose-explore-unchoose-pattern
Sort Array By Parity,LeetCode,905,Easy,Array,03,lc-sort-array-parity,,two-pointer
